"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.796467625E0,3.187244162E-3,3.049533097E-2,-7.445259690E-3,3.155242666E-2
1.806422625E0,-2.702400349E-3,7.564999703E-3,-1.402571619E-2,1.616331967E-2
1.816376625E0,-5.386126153E-3,-1.337486627E-2,-2.674516439E-2,3.038422652E-2
1.826330625E0,1.811503954E-3,-2.596065078E-2,-2.749243855E-2,3.785592573E-2
1.836285625E0,5.987037197E-3,-1.489795631E-2,-2.360053182E-2,2.854433076E-2
1.846239625E0,8.184895925E-3,-1.069855912E-2,-3.303384483E-2,3.567473325E-2
1.856194625E0,1.360340104E-2,5.225802809E-3,-3.243508995E-2,3.555835478E-2
1.866148625E0,9.475814961E-3,-2.490530144E-3,-2.794618249E-2,2.961389750E-2
1.876103625E0,1.218461070E-2,6.541755237E-4,-2.554590046E-2,2.831052303E-2
1.886057625E0,2.059926566E-2,4.265452456E-3,-2.165340900E-2,3.018930194E-2
1.896011625E0,-8.174772933E-4,-3.919626195E-3,-2.315205038E-2,2.349572674E-2
1.905966625E0,-1.284472480E-2,-7.103745751E-3,-1.657159388E-2,2.213747688E-2
1.915920625E0,-1.275972091E-2,8.987718634E-4,-3.334199309E-2,3.571143755E-2
1.925875625E0,-4.058223478E-3,6.650367267E-3,-1.658504248E-2,1.832376044E-2
1.935829625E0,9.901857711E-3,-1.666547824E-3,-2.362333596E-2,2.566877811E-2
1.945783625E0,1.979121700E-2,-6.232199986E-3,-2.961263895E-2,3.615855324E-2
1.955738625E0,1.993027110E-2,-1.064480128E-2,-3.007164538E-2,3.761424406E-2
1.965692625E0,1.184474129E-2,-1.973819006E-3,-2.962959588E-2,3.197040521E-2
1.975647625E0,-1.975225993E-3,-3.995658271E-3,-3.487337887E-2,3.515706695E-2
1.985601625E0,-3.217174597E-3,1.273841511E-2,-1.435959220E-2,1.946317857E-2
1.995556625E0,-2.483239397E-4,-2.647692338E-3,-2.198903918E-2,2.214926147E-2
2.005510625E0,-5.377611145E-4,-1.275606640E-4,-3.965113878E-2,3.965499042E-2
2.015464625E0,1.484235294E-2,-2.173015371E-2,-2.213755846E-2,3.438846486E-2
2.025419625E0,4.491027072E-4,-2.638892278E-2,-4.100652337E-2,4.876588867E-2
2.035373625E0,-8.878558427E-3,-1.016401397E-2,-3.247777462E-2,3.517018374E-2
2.045328625E0,1.714553464E-2,-4.226769470E-3,-2.514712036E-2,3.072804258E-2
2.055282625E0,1.208557349E-2,1.041215518E-2,-1.706626832E-2,2.336089846E-2
2.065237625E0,-4.601027817E-4,-6.792783514E-3,-3.353845954E-2,3.422253455E-2
2.075191625E0,-9.463718534E-3,-1.375721935E-2,-1.512967050E-2,2.253286449E-2
2.085145625E0,3.287048824E-3,-1.411444768E-3,-2.036994517E-2,2.068167141E-2
2.095100625E0,1.102152642E-2,-4.268010613E-3,-3.953653336E-2,4.126532962E-2
2.105054625E0,9.050685838E-3,2.720161267E-3,-3.400214374E-2,3.529107494E-2
2.115009625E0,1.429819643E-2,6.365918498E-3,-3.579957783E-2,3.907138483E-2
2.124963625E0,1.327668786E-2,1.624968639E-2,-1.589740992E-2,2.632585023E-2
2.134918625E0,-1.617332540E-2,3.222681943E-2,-1.141084135E-2,3.781999003E-2
2.144872625E0,-1.325684387E-2,3.295945728E-2,-7.814218998E-3,3.637487804E-2
2.154826625E0,-8.366817422E-3,2.139715478E-4,-4.164036155E-2,4.247315773E-2
2.164781625E0,-9.624516964E-4,-2.379571918E-2,-5.795116961E-2,6.265381572E-2
2.174735625E0,1.417982686E-2,-1.293652609E-2,-2.531552017E-2,3.176943120E-2
2.184690625E0,2.658421978E-2,-1.496194677E-2,-3.339754164E-2,4.523247042E-2
2.194644625E0,-3.486767784E-4,-2.847288871E-2,-3.279703259E-2,4.343353905E-2
2.204599625E0,5.190134794E-3,-3.682320602E-3,-3.129839122E-2,3.193878954E-2
2.214553625E0,1.977272518E-3,1.785807269E-2,-1.363570690E-3,1.801887043E-2
2.224507625E0,1.372122243E-3,2.436240574E-2,-2.366485119E-2,3.399168597E-2
2.234462625E0,-5.861906782E-3,1.519071909E-2,-4.357462049E-2,4.651738866E-2
2.244416625E0,-4.182147905E-3,1.380469143E-2,-1.648271620E-2,2.190296327E-2
2.254371625E0,2.932674665E-2,6.132614594E-3,-2.516933978E-2,3.913007406E-2
2.264325625E0,1.190931648E-3,-1.560658403E-2,-3.714736104E-2,4.031017509E-2
2.274280625E0,-1.508143097E-3,-9.892081898E-3,-1.335270166E-2,1.668599477E-2
2.284234625E0,2.654343545E-3,-9.033747185E-3,-3.042189360E-2,3.184565493E-2
2.294188625E0,5.929917209E-3,-1.985716263E-2,-1.275803983E-2,2.433594884E-2
2.304143625E0,7.655942179E-3,-2.149608236E-2,-3.595628321E-2,4.258578765E-2
2.314097625E0,1.625197046E-3,-6.554948017E-3,-1.769542873E-2,1.894034865E-2
2.324052625E0,-3.308975883E-3,2.848032564E-3,7.453445792E-3,8.637966488E-3
2.334006625E0,3.740902394E-3,1.032126753E-2,-3.865652740E-2,4.018519659E-2
2.343961625E0,1.440125361E-2,1.784990486E-3,-2.398586333E-2,2.803397824E-2
2.353915625E0,1.230341882E-2,-7.443797886E-3,-3.012427032E-2,3.338047189E-2
2.363869625E0,-5.206580088E-3,-5.558326654E-3,-3.087563753E-2,3.180107647E-2
2.373824625E0,9.116503559E-3,-1.819543876E-2,-1.576175451E-2,2.574135843E-2
2.383778625E0,-5.204789378E-3,1.771212984E-3,-3.657491863E-2,3.698583108E-2
2.393733625E0,9.923821315E-4,4.488322735E-3,-1.307905197E-2,1.386331359E-2
2.403687625E0,-1.924245581E-3,1.715068750E-2,-2.026586473E-2,2.661867908E-2
2.413642625E0,6.442900747E-4,-6.901980266E-3,-3.657725751E-2,3.722832535E-2
2.423596625E0,6.860318854E-3,-2.576909965E-2,-3.388636887E-2,4.312071969E-2
2.433550625E0,-2.848069109E-3,2.167124301E-4,-2.685976982E-2,2.701121428E-2
2.443505625E0,-1.910102628E-3,2.234398345E-2,-2.341400564E-2,3.242094613E-2
2.453459625E0,6.261783242E-3,2.344665868E-2,-2.596339166E-2,3.553946313E-2
2.463414625E0,2.161119942E-2,6.750135385E-3,-1.712532520E-2,2.838811426E-2
2.473368625E0,4.976455607E-3,-2.053072533E-2,-1.143715382E-2,2.402257855E-2
2.483323625E0,1.968574785E-3,-8.227215149E-3,-3.224096239E-2,3.333229682E-2
2.493277625E0,-1.655079972E-2,-7.612307332E-3,-1.098340988E-2,2.127231738E-2
2.503231625E0,-7.722929344E-3,-1.172670063E-2,-1.398010790E-2,1.981420102E-2
