"Time (s)";"Linear Acceleration x (m/s^2)";"Linear Acceleration y (m/s^2)";"Linear Acceleration z (m/s^2)";"Absolute acceleration (m/s^2)"
2.338777958E0;4.782465091E-2;9.968771785E-4;-1.083430588E-2;4.904664293E-2
2.348772958E0;9.193372518E-2;1.573038055E-3;2.030211747E-2;9.416188320E-2
2.358767958E0;1.243755577E-1;8.117588991E-3;-9.487692118E-3;1.250007636E-1
2.368763958E0;9.784655755E-2;-5.345734684E-3;2.634755373E-3;9.802789215E-2
2.378758958E0;7.683703663E-2;2.242400807E-2;-6.047775149E-3;8.027042992E-2
2.388754958E0;9.200151633E-2;3.565451207E-2;6.526662111E-3;9.888437974E-2
2.398749958E0;7.922001455E-2;2.948312312E-2;1.730366528E-2;8.628141217E-2
2.408744958E0;5.915821765E-2;1.645899843E-2;2.987751782E-2;6.828806203E-2
2.418740958E0;2.758707209E-2;2.833411784E-2;3.317476273E-2;5.161815245E-2
2.428735958E0;2.670564087E-2;4.878514744E-3;1.581262529E-2;3.141703804E-2
2.438731958E0;4.553394936E-2;9.054221576E-3;3.692224324E-2;5.931754815E-2
2.448726958E0;6.872197839E-2;1.802421584E-2;-3.341099024E-3;7.112485931E-2
2.458721958E0;6.467848258E-2;7.796330173E-3;2.090964317E-2;6.842004129E-2
2.468717958E0;7.614138242E-2;1.469259113E-2;9.681234956E-3;7.814799205E-2
2.478712958E0;7.388114121E-2;7.661743714E-3;-1.097580850E-2;7.508391116E-2
2.488708958E0;1.031572546E-1;6.419859063E-3;-9.330402017E-3;1.037771178E-1
2.498703958E0;9.145874854E-2;-1.477442474E-2;-2.864024699E-2;9.697035660E-2
2.508698958E0;6.033856949E-2;-3.247105032E-3;-1.999747753E-4;6.042620829E-2
2.518694958E0;4.616466293E-2;8.952543978E-4;3.392554522E-3;4.629780783E-2
2.528689958E0;4.005883589E-2;-5.729047079E-3;1.387544274E-2;4.277920318E-2
2.538685958E0;1.452278433E-2;7.963916855E-3;6.244241595E-3;1.770101098E-2
2.548680958E0;3.732566457E-2;2.399077864E-2;1.792347014E-2;4.785408528E-2
2.558675958E0;7.912220160E-2;3.627699385E-2;1.583016694E-2;8.846997939E-2
2.568671958E0;8.722629631E-2;2.003089802E-2;1.478643894E-2;9.070999074E-2
2.578666958E0;8.647385102E-2;1.543100310E-2;1.044780493E-2;8.845902664E-2
2.588662958E0;6.103504596E-2;2.042000282E-2;1.344040990E-2;6.574874880E-2
2.598657958E0;9.614496298E-2;1.758191052E-2;1.149504125E-2;9.841297403E-2
2.608652958E0;8.267414756E-2;2.216403538E-2;1.598921120E-2;8.707418684E-2
2.618648958E0;4.427270494E-2;1.784131676E-3;1.209438086E-2;4.592961547E-2
2.628643958E0;5.055659797E-2;2.611641512E-2;2.066406012E-3;5.694125720E-2
2.638639958E0;4.393800667E-2;8.504884802E-3;-1.671134233E-3;4.478475393E-2
2.648634958E0;4.297296027E-2;8.076329576E-3;4.768404365E-3;4.398454380E-2
2.658629958E0;6.607222125E-2;9.321832191E-4;1.329072118E-3;6.609216156E-2
2.668625958E0;4.908580396E-2;-3.076877967E-3;1.704697251E-2;5.205269062E-2
2.678620958E0;5.097028848E-2;-3.980647372E-3;2.288892567E-2;5.601534414E-2
2.688616958E0;6.889520215E-2;1.488107247E-3;3.382088006E-2;7.676337193E-2
2.698611958E0;7.121625440E-2;1.828956066E-2;1.034957170E-3;7.353457728E-2
2.708606958E0;5.216524009E-2;2.626786714E-2;1.376142204E-2;6.000491525E-2
2.718602958E0;9.937171239E-2;2.082071068E-2;-7.194414139E-3;1.017840794E-1
2.728597958E0;9.594760118E-2;2.517052749E-3;1.496244013E-2;9.713985970E-2
2.738593958E0;8.904933024E-2;-1.727325062E-2;1.990567625E-2;9.286756350E-2
2.748588958E0;8.598182609E-2;6.702708984E-3;1.945777953E-2;8.841044005E-2
2.758583958E0;6.704295041E-2;2.848704080E-2;1.167455077E-2;7.377373401E-2
